  1 PROT          3.5E-01
  1 h   2         2.4E-05
  2 he  3         1.5E-05
  2 he  4         1.4E-01
  3 li  6         3.2E-10
  3 li  7         4.7E-09
  4 be  9         8.3E-11
  5 b  10         5.3E-10
  5 b  11         2.4E-09
  6 c  12         6.1E-03
  6 c  13         1.8E-05
  7 n  14         5.5E-04
  7 n  15         2.2E-06
  8 o  16         2.6E-01
  8 o  17         1.9E-06
  8 o  18         1.1E-05
  9 f  19         2.0E-07
 10 ne 20         1.6E-01
 10 ne 21         3.0E-03
 10 ne 22         2.2E-03
 11 na 23         3.2E-02
 12 mg 24         2.8E-02
 12 mg 25         7.9E-03
 12 mg 26         5.0E-03
 13 al 27         5.4E-03
 14 si 28         3.3E-04
 14 si 29         1.7E-05
 14 si 30         1.2E-05
 15 p  31         1.1E-06
 16 s  32         2.0E-04
 16 s  33         4.5E-07
 16 s  34         2.6E-06
 17 cl 35         4.9E-07
 17 cl 37         1.7E-07
 18 ar 36         3.9E-05
 18 ar 38         1.9E-06
 19 k  39         4.8E-07
 20 ca 40         3.0E-05
