H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      804 dzeit  2.93E-07 agej  1.2827E-04
 # t9 =    1.750E-01 rho =    4.528E+01
 # densn  8.14804E+08
 # densp  1.24756E+23
 # densa  3.33546E+24
 # total_energy_flux_[erg/(g*s)]  2.30147E+16
    1     0.   1.   1   2.98786E-17  NEUT 
    2     1.   1.   1   4.57477E-03  PROT 
    3     1.   2.   1   1.24889E-13  H   2
    4     2.   3.   1   4.78088E-11  HE  3
    5     2.   4.   1   4.89241E-01  HE  4
    6     4.   7.   1   4.33050E-07  BE  7
    7     5.   8.   1   9.96107E-13  B   8
    8     3.   7.   1   1.01988E-14  LI  7
    9     6.  11.   1   2.40779E-08  C  11
   10     5.  11.   1   2.39540E-09  B  11
   11     6.  12.   1   2.87722E-02  C  12
   12     6.  13.   1   2.82241E-02  C  13
   13     7.  13.   1   9.45769E-02  N  13
   14     7.  14.   1   6.16033E-02  N  14
   15     6.  14.   1   8.60986E-09  C  14
   16     7.  15.   1   7.44961E-06  N  15
   17     8.  16.   1   1.17872E-04  O  16
   18     8.  17.   1   3.48923E-06  O  17
   19     8.  18.   1   2.64155E-13  O  18
   20     9.  17.   1   1.45054E-07  F  17
   21     9.  18.   1   1.56809E-08  F  18
   22     9.  19.   1   1.50103E-11  F  19
   23    10.  20.   1   1.16834E-01  NE 20
   24    10.  21.   1   5.73030E-06  NE 21
   25    10.  22.   1   4.01681E-08  NE 22
   26    11.  22.   1   3.74540E-05  NA 22
   27    11.  23.   1   5.44356E-05  NA 23
   28    12.  23.   1   6.84628E-07  MG 23
   29    12.  24.   1   3.32712E-06  MG 24
   30    12.  25.   1   2.70605E-04  MG 25
   31    12.  26.   1   2.71759E-09  MG 26
   32    13.  26.   1   1.15425E-04  AL 26
   33    13.  27.   1   4.38524E-04  AL 27
   34    14.  27.   1   7.20894E-08  SI 27
   35    14.  28.   1   6.95472E-02  SI 28
   36    14.  29.   1   8.50018E-04  SI 29
   37    14.  30.   1   7.69499E-02  SI 30
   38    15.  31.   1   4.48192E-03  P  31
   39    16.  31.   1   1.00000E-99  S  31
   43     4.   8.   1   1.00000E-99  BE  8
   44     8.  14.   1   2.39995E-05  O  14
   45     8.  15.   1   6.69452E-03  O  15
   46    11.  21.   1   1.29333E-06  NA 21
   47    13.  25.   1   1.24422E-07  AL 25
   48    15.  29.   1   1.40092E-08  P  29
   49    15.  30.   1   1.44187E-05  P  30
   50    82. 206.   1   1.38411E-09  PB206
   51    82. 207.   1   1.52853E-09  PB207
   52    83. 211.   1   8.28829E-22  BI211
   53    84. 210.   1   9.05177E-17  PO210
   55     1.   3.   1   3.16730E-10  H   3
   56     9.  20.   1   8.52572E-20  F  20
   57    10.  19.   1   2.38007E-12  NE 19
   58    11.  24.   1   4.98465E-12  NA 24
   59    12.  27.   1   7.50200E-18  MG 27
   60    12.  28.   1   7.61391E-25  MG 28
   61    13.  28.   1   6.25285E-11  AL 28
   62    13.  29.   1   3.20172E-17  AL 29
   63    14.  31.   1   2.93349E-08  SI 31
   64    14.  32.   1   6.91486E-15  SI 32
   65    15.  32.   1   1.20015E-09  P  32
   66    15.  33.   1   1.72416E-13  P  33
   67    15.  34.   1   2.12595E-21  P  34
   68    15.  35.   1   1.00000E-99  P  35
   69    16.  32.   1   1.56850E-02  S  32
   70    16.  33.   1   1.03563E-05  S  33
   71    16.  34.   1   4.28839E-06  S  34
   72    16.  35.   1   5.38330E-13  S  35
   73    16.  36.   1   6.39835E-17  S  36
   74    16.  37.   1   3.74349E-25  S  37
   75    16.  38.   1   1.00000E-99  S  38
   76    17.  34.   1   5.74968E-12  CL 34
   77    17.  35.   1   4.94108E-06  CL 35
   78    17.  36.   1   8.89410E-12  CL 36
   79    17.  37.   1   5.72895E-08  CL 37
   80    17.  38.   1   5.09548E-14  CL 38
   81    17.  39.   1   1.44089E-18  CL 39
   82    17.  40.   1   1.13595E-25  CL 40
   83    18.  35.   1   1.00000E-99  AR 35
   84    18.  36.   1   7.53818E-07  AR 36
   85    18.  37.   1   3.31473E-05  AR 37
   86    18.  38.   1   7.80893E-06  AR 38
   87    18.  39.   1   8.88473E-12  AR 39
   88    18.  40.   1   1.99760E-16  AR 40
   89    18.  41.   1   3.14441E-22  AR 41
   90    18.  42.   1   6.24739E-27  AR 42
   91    18.  43.   1   1.00000E-99  AR 43
   92    18.  44.   1   1.00000E-99  AR 44
   93    19.  38.   1   1.33768E-07  K  38
   94    19.  39.   1   1.68066E-06  K  39
   95    19.  40.   1   1.18819E-11  K  40
   96    19.  41.   1   3.66314E-15  K  41
   97    19.  42.   1   1.30547E-19  K  42
   98    19.  43.   1   1.45513E-23  K  43
   99    19.  44.   1   1.00000E-99  K  44
  100    19.  45.   1   1.00000E-99  K  45
  101    19.  46.   1   1.00000E-99  K  46
  102    20.  39.   1   5.78030E-16  CA 39
  103    20.  40.   1   2.98854E-05  CA 40
  104    20.  41.   1   2.97286E-10  CA 41
  105    20.  42.   1   2.44089E-07  CA 42
  106    20.  43.   1   5.31303E-08  CA 43
  107    20.  44.   1   8.31634E-07  CA 44
  108    20.  45.   1   8.62620E-12  CA 45
  109    20.  46.   1   1.67395E-09  CA 46
  110    20.  47.   1   1.11392E-14  CA 47
  111    20.  48.   1   8.16639E-08  CA 48
  112    20.  49.   1   6.68581E-15  CA 49
  113    21.  43.   1   5.77551E-09  SC 43
  114    21.  44.   1   1.02352E-09  SC 44
  115    21.  45.   1   4.15398E-08  SC 45
  116    21.  46.   1   3.33757E-12  SC 46
  117    21.  47.   1   2.21189E-11  SC 47
  118    21.  48.   1   3.35601E-15  SC 48
  119    21.  49.   1   6.32595E-10  SC 49
  120    21.  50.   1   5.39650E-17  SC 50
  121    22.  44.   1   1.51203E-11  TI 44
  122    22.  45.   1   3.11862E-12  TI 45
  123    22.  46.   1   1.59840E-07  TI 46
  124    22.  47.   1   1.47236E-07  TI 47
  125    22.  48.   1   1.48961E-06  TI 48
  126    22.  49.   1   1.12117E-07  TI 49
  127    22.  50.   1   1.09153E-07  TI 50
  128    22.  51.   1   1.49445E-14  TI 51
  129    22.  52.   1   2.24212E-21  TI 52
  130    23.  47.   1   8.29756E-11  V  47
  131    23.  48.   1   1.53055E-10  V  48
  132    23.  49.   1   1.34759E-09  V  49
  133    23.  50.   1   5.97294E-10  V  50
  134    23.  51.   1   2.04727E-07  V  51
  135    23.  52.   1   7.43945E-13  V  52
  136    23.  53.   1   5.40528E-19  V  53
  137    24.  48.   1   9.98868E-14  CR 48
  138    24.  49.   1   9.23654E-15  CR 49
  139    24.  50.   1   4.08835E-07  CR 50
  140    24.  51.   1   5.98586E-11  CR 51
  141    24.  52.   1   8.20002E-06  CR 52
  142    24.  53.   1   9.47552E-07  CR 53
  143    24.  54.   1   2.40478E-07  CR 54
  144    24.  55.   1   8.57896E-14  CR 55
  145    24.  56.   1   9.81936E-20  CR 56
  146    25.  51.   1   1.40841E-11  MN 51
  147    25.  52.   1   2.66364E-15  MN 52
  148    25.  53.   1   4.53964E-10  MN 53
  149    25.  54.   1   5.29741E-11  MN 54
  150    25.  55.   1   5.43192E-06  MN 55
  151    25.  56.   1   2.89193E-10  MN 56
  152    25.  57.   1   4.28593E-16  MN 57
  153    26.  52.   1   1.84632E-16  FE 52
  154    26.  53.   1   1.55307E-21  FE 53
  155    26.  54.   1   4.01597E-05  FE 54
  156    26.  55.   1   2.91821E-09  FE 55
  157    26.  56.   1   6.53812E-04  FE 56
  158    26.  57.   1   1.53735E-05  FE 57
  159    26.  58.   1   2.08234E-06  FE 58
  160    26.  59.   1   4.17598E-11  FE 59
  161    26.  60.   1   1.69219E-15  FE 60
  162    26.  61.   1   3.75394E-22  FE 61
  163    27.  55.   1   1.58856E-10  CO 55
  164    27.  56.   1   1.21878E-14  CO 56
  165    27.  57.   1   2.61704E-09  CO 57
  166    27.  58.   1   9.18216E-11  CO 58
  167    27.  59.   1   1.97455E-06  CO 59
  168    27.  60.   1   1.45438E-10  CO 60
  169    27.  61.   1   1.27246E-14  CO 61
  170    27.  62.   1   1.12416E-20  CO 62
  171    27.  63.   1   2.29233E-27  CO 63
  172    28.  56.   1   8.96549E-17  NI 56
  173    28.  57.   1   6.82932E-21  NI 57
  174    28.  58.   1   2.82525E-05  NI 58
  175    28.  59.   1   1.10200E-09  NI 59
  176    28.  60.   1   1.12579E-05  NI 60
  177    28.  61.   1   4.98054E-07  NI 61
  178    28.  62.   1   1.61238E-06  NI 62
  179    28.  63.   1   1.29516E-10  NI 63
  180    28.  64.   1   4.23881E-07  NI 64
  181    28.  65.   1   3.01528E-12  NI 65
  182    28.  66.   1   1.56786E-16  NI 66
  183    28.  67.   1   3.30588E-24  NI 67
  184    28.  68.   1   1.00000E-99  NI 68
  185    29.  60.   1   6.20668E-17  CU 60
  186    29.  61.   1   3.59632E-12  CU 61
  187    29.  62.   1   2.50681E-14  CU 62
  188    29.  63.   1   3.26503E-07  CU 63
  189    29.  64.   1   3.17493E-11  CU 64
  190    29.  65.   1   1.50127E-07  CU 65
  191    29.  66.   1   2.78229E-13  CU 66
  192    29.  67.   1   1.40765E-15  CU 67
  193    29.  68.   1   2.49051E-21  CU 68
  194    29.  69.   1   3.36288E-26  CU 69
  195    29.  70.   1   1.00000E-99  CU 70
  196    29.  71.   1   1.00000E-99  CU 71
  197    30.  62.   1   2.46182E-19  ZN 62
  198    30.  63.   1   7.18611E-21  ZN 63
  199    30.  64.   1   5.59359E-07  ZN 64
  200    30.  65.   1   5.16373E-11  ZN 65
  201    30.  66.   1   3.30962E-07  ZN 66
  202    30.  67.   1   4.93801E-08  ZN 67
  203    30.  68.   1   2.29172E-07  ZN 68
  204    30.  69.   1   4.88420E-12  ZN 69
  205    30.  70.   1   7.80047E-09  ZN 70
  206    30.  71.   1   5.87001E-15  ZN 71
  207    30.  72.   1   1.73856E-17  ZN 72
  208    30.  73.   1   1.04080E-24  ZN 73
  209    30.  74.   1   1.00000E-99  ZN 74
  210    31.  65.   1   6.22317E-15  GA 65
  211    31.  66.   1   3.57352E-18  GA 66
  212    31.  67.   1   2.79233E-14  GA 67
  213    31.  68.   1   2.92418E-15  GA 68
  214    31.  69.   1   2.25135E-08  GA 69
